사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2019-03,1호선,0150,서울역,"1,148",27,"10,846","8,729","14,256","51,270","41,401","105,163","83,916","227,257","63,541","161,660","72,014","90,340","89,984","83,152","99,491","91,247","102,786","96,669","87,786","89,747","117,485","90,297","121,592","95,922","162,133","103,640","239,787","107,663","143,056","82,322","100,632","59,128","101,449","50,168","75,256","38,832","36,468","20,773","3,569","7,421",0,417,0,0,0,0,2019-04-03 11:14:03
2019-03,1호선,0151,시청,99,1,"2,722","4,430","3,650","23,998","8,512","68,867","11,593","197,063","15,046","85,538","18,492","49,618","23,659","47,682","26,988","46,251","34,792","50,427","43,177","43,699","55,103","34,250","61,429","29,045","83,525","28,833","160,348","28,933","73,227","16,819","57,283","9,743","57,437","8,856","37,235","7,287","14,002","4,760",812,"1,402",1,39,0,0,0,0,2019-04-03 11:14:03
2019-03,1호선,0152,종각,98,4,"4,286","4,945","4,517","28,843","7,278","100,989","12,637","279,180","16,144","158,898","22,141","77,687","33,790","73,798","42,391","70,194","57,624","72,038","66,547","61,243","80,929","55,031","95,823","55,967","142,637","62,939","241,382","80,444","130,520","50,759","111,187","20,367","131,667","13,071","106,632","8,984","48,261","5,845","3,933","1,610",0,21,0,0,0,0,2019-04-03 11:14:03
2019-03,1호선,0153,종로3가,147,11,"5,391","2,644","4,304","13,250","6,629","28,751","11,585","80,384","16,920","92,488","27,554","84,083","41,989","94,868","55,151","97,914","71,628","96,491","80,450","85,612","89,962","69,894","102,152","61,219","105,841","59,006","125,597","64,162","95,255","37,906","69,509","15,558","75,425","11,167","62,102","8,868","25,307","6,237","2,713","2,721",1,40,0,0,0,0,2019-04-03 11:14:03
2019-03,1호선,0154,종로5가,37,1,"2,137","3,678","3,070","16,347","5,698","42,693","9,575","125,971","14,722","80,708","25,044","66,594","35,059","73,159","47,686","73,661","60,969","69,039","71,158","62,678","74,750","55,445","78,973","49,864","90,851","45,269","127,528","41,966","76,098","26,265","51,876","12,451","42,201","8,533","32,398","5,943","10,952","3,881",728,"1,148",1,6,0,0,0,0,2019-04-03 11:14:03
2019-03,1호선,0155,동대문,601,9,"15,738","2,476","11,707","7,631","19,490","15,025","25,571","32,320","24,440","30,915","22,414","35,454","25,030","40,974","29,794","41,077","33,523","39,968","35,179","38,225","36,199","36,067","36,279","33,975","36,629","33,232","34,937","33,591","25,712","34,626","21,020","25,069","19,430","19,240","17,433","18,610","10,195","14,350","1,397","5,005",3,67,1,2,0,0,2019-04-03 11:14:03
2019-03,1호선,0156,신설동,324,33,"10,080","2,184","10,567","8,572","21,876","27,827","31,983","74,469","24,578","43,506","22,493","28,062","25,314","26,437","26,846","25,220","29,685","26,262","29,310","25,038","32,018","26,115","35,252","25,193","44,813","31,463","70,705","33,799","33,294","27,562","21,326","18,341","19,962","18,063","14,631","17,669","6,675","12,663",599,"3,269",2,19,0,0,0,0,2019-04-03 11:14:03
2019-03,1호선,0157,제기동,341,8,"4,995","2,218","9,088","8,687","23,787","20,336","35,579","50,518","26,268","45,277","29,014","42,949","37,935","54,525","46,138","59,395","52,563","65,524","58,233","59,928","63,684","52,952","62,548","40,599","56,005","35,873","54,095","31,862","29,471","24,761","19,333","14,944","13,847","13,311","9,764","12,828","4,292","8,890",318,"1,830",0,0,0,0,0,0,2019-04-03 11:14:03
2019-03,1호선,0158,청량리(서울시립대입구),"1,327",5,"11,994","2,985","18,079","11,594","48,056","21,992","65,554","45,445","44,713","47,366","37,731","43,083","44,003","54,336","50,195","63,649","54,088","71,671","59,206","69,007","67,452","62,519","75,436","58,136","69,706","60,975","61,329","68,715","39,078","53,615","30,166","33,214","24,294","30,073","17,131","30,912","8,130","20,783",468,"6,040",0,0,0,0,0,0,2019-04-03 11:14:03
2019-03,1호선,0159,동묘앞,115,5,"3,656",829,"3,949","4,065","7,518","12,315","10,180","32,197","10,001","19,975","11,107","24,134","16,873","34,682","24,094","40,752","32,568","46,315","38,626","44,333","44,029","37,483","47,270","27,183","43,069","20,378","36,081","13,380","16,075","9,216","8,250","6,720","7,088","6,672","5,525","6,873","2,691","4,996",311,"3,290",0,224,1,0,0,0,2019-04-03 11:14:03
2019-03,2호선,0201,시청,79,5,"1,459","1,870","2,570","17,655","6,115","65,483","9,769","233,031","14,322","88,196","21,125","32,843","27,074","32,462","27,513","32,632","33,907","38,257","40,377","33,560","47,054","28,585","54,218","25,002","82,351","26,422","185,075","26,255","75,280","16,330","51,736","9,305","47,338","8,714","31,758","8,890","13,005","6,050","1,628","2,020",4,124,1,0,0,0,2019-04-03 11:14:03
2019-03,2호선,0202,을지로입구,91,1,"3,074","3,192","3,767","29,765","9,065","124,769","18,259","339,455","27,093","163,344","36,165","93,577","45,963","102,765","52,543","80,126","67,782","84,164","77,019","74,648","94,671","72,295","109,125","71,442","149,019","74,762","300,593","80,907","159,363","52,103","147,046","30,790","124,385","24,070","88,337","20,684","39,881","12,156","4,424","3,776",7,573,0,0,0,0,2019-04-03 11:14:03
2019-03,2호선,0203,을지로3가,10,0,"1,107","1,925","2,787","17,806","6,054","66,442","12,469","159,518","16,756","85,030","21,012","43,403","24,146","34,301","25,256","30,643","31,070","34,844","35,334","30,047","40,051","28,389","46,464","28,645","69,164","31,236","138,086","35,381","70,303","22,753","47,428","12,941","48,154","9,931","38,422","9,756","19,091","6,693","3,378","2,109",9,97,0,0,0,0,2019-04-03 11:14:03
2019-03,2호선,0204,을지로4가,16,0,"1,036",878,"1,728","12,208","3,556","23,076","7,285","65,818","11,815","41,180","15,238","27,033","16,172","24,884","18,542","24,095","21,093","22,785","24,807","22,088","28,524","20,708","32,278","18,054","42,575","16,663","63,782","14,453","38,374","9,812","18,995","6,420","14,364","6,119","10,307","6,392","4,815","4,561",963,"1,351",3,67,0,0,0,0,2019-04-03 11:14:03
2019-03,2호선,0205,동대문역사문화공원,413,13,"11,680","1,027","7,796","8,815","9,302","29,733","16,392","67,735","16,512","43,430","18,715","40,518","22,281","39,051","25,625","40,561","29,806","46,426","35,595","44,339","47,031","41,728","55,321","39,364","60,544","40,896","69,284","46,302","49,193","54,094","37,438","37,687","34,342","29,182","32,237","22,460","22,265","15,045","3,665","5,754",5,252,1,0,0,0,2019-04-03 11:14:03
2019-03,2호선,0206,신당,63,1,"6,680","1,322","12,672","9,834","30,731","19,720","47,920","44,601","30,413","28,357","22,595","21,741","22,452","22,841","24,966","23,824","26,947","25,575","27,194","26,425","27,178","28,453","31,011","31,279","35,965","36,808","41,599","48,368","28,130","39,118","20,252","25,089","19,130","23,048","14,164","23,076","8,032","15,286","1,281","5,102",17,180,0,0,0,0,2019-04-03 11:14:03
2019-03,2호선,0207,상왕십리,30,1,"6,373",840,"13,686","6,241","41,299","12,418","67,813","42,684","35,957","22,236","24,396","15,238","22,974","13,291","23,464","15,390","23,022","18,042","20,573","18,395","21,353","21,442","23,786","25,245","26,845","31,955","33,203","49,100","22,880","40,155","15,179","26,198","14,159","24,759","10,225","25,176","4,281","17,072",601,"5,519",2,83,0,0,0,0,2019-04-03 11:14:03
2019-03,2호선,0208,왕십리(성동구청),648,6,"8,215","1,140","12,454","6,823","32,405","13,910","57,860","32,647","36,611","25,234","24,864","17,919","25,615","19,972","29,310","22,181","31,555","24,475","30,365","23,764","33,039","26,768","40,281","31,577","47,443","41,790","52,594","67,103","36,276","51,528","35,045","31,224","40,501","27,371","40,676","27,929","28,147","20,072","4,922","7,843",17,202,0,0,0,0,2019-04-03 11:14:03
2019-03,2호선,0209,한양대,4,0,"1,310",348,"2,669","6,346","6,284","16,084","9,980","81,404","8,092","80,738","9,160","61,920","12,948","22,737","18,487","38,466","19,268","27,138","26,761","22,963","34,584","16,671","48,211","14,128","60,069","18,706","47,042","25,450","24,313","13,059","21,243","7,694","25,853","6,860","16,979","6,701","8,808","4,928","1,701","1,696",6,76,0,0,0,0,2019-04-03 11:14:03
2019-03,2호선,0210,뚝섬,27,0,"4,578","2,031","10,037","14,885","25,892","30,204","35,654","121,401","22,910","60,611","18,351","28,122","19,559","22,200","21,863","23,777","23,678","25,038","24,325","24,455","26,808","25,080","32,929","26,604","44,241","32,223","101,641","47,449","52,325","32,909","29,553","19,176","31,868","17,645","21,288","17,611","8,481","11,927","1,311","4,088",9,136,1,0,0,0,2019-04-03 11:14:03
2019-03,2호선,0211,성수,86,15,"6,050","4,473","11,273","28,320","28,704","65,492","37,562","263,838","30,076","99,462","26,047","42,421","27,169","34,561","29,798","34,140","34,693","38,097","38,564","37,977","42,171","38,863","49,356","39,328","82,313","44,005","191,825","53,037","91,307","40,305","50,695","24,121","48,212","21,375","36,298","18,762","15,931","13,172","2,165","6,785",8,987,0,0,0,0,2019-04-03 11:14:03
