사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2020-03,1호선,0150,서울역,668,10,"7,831","5,147","9,575","32,698","28,723","68,782","45,121","152,887","29,083","97,470","24,834","38,826","29,244","30,460","33,582","32,570","35,117","32,630","33,247","31,822","42,111","32,009","50,846","33,187","93,986","41,883","151,111","48,146","72,919","35,168","47,476","22,261","41,126","17,376","26,561","13,148","11,732","7,659","1,000","2,079",0,84,1,1,0,0,2020-04-03 11:28:49
2020-03,1호선,0151,시청,43,0,"1,759","3,346","2,859","15,010","5,397","56,703","6,460","142,068","6,807","76,591","7,136","23,958","9,902","18,024","10,411","16,431","13,289","16,892","17,684","14,493","22,936","11,977","26,543","10,671","55,935","10,354","114,932","10,659","49,453","6,183","31,746","3,766","28,945","3,212","18,972","2,279","6,358","1,309",257,287,0,7,0,0,0,0,2020-04-03 11:28:49
2020-03,1호선,0152,종각,73,1,"2,525","3,881","2,902","21,642","4,606","89,741","7,359","179,659","8,318","123,842","10,554","47,423","15,631","32,750","19,047","28,338","24,851","31,851","31,162","27,867","38,924","23,084","47,145","22,241","98,524","26,106","164,928","31,117","82,379","20,085","58,362","8,020","62,256","5,168","44,598","3,252","19,099","1,969","1,153",516,0,2,0,0,0,0,2020-04-03 11:28:49
2020-03,1호선,0153,종로3가,145,22,"3,593","2,128","2,988","10,318","3,722","21,614","5,683","64,904","8,219","66,774","13,645","50,934","23,236","44,151","28,726","40,201","35,984","42,622","37,663","38,870","41,859","32,699","46,674","26,391","57,963","24,562","88,563","26,013","50,373","15,641","33,046","6,686","34,970","4,385","26,459","3,331","10,761","2,385","1,179","1,186",0,8,0,1,0,0,2020-04-03 11:28:49
2020-03,1호선,0154,종로5가,27,2,"1,549","3,286","2,314","12,387","3,726","34,443","6,048","97,070","8,748","63,332","13,472","38,342","18,841","32,674","22,236","30,846","25,436","29,363","31,158","28,572","35,959","25,720","41,568","20,393","62,538","17,860","87,884","16,148","44,479","9,657","25,060","4,753","19,086","3,698","13,248","2,352","4,741","1,569",252,468,0,0,0,1,0,0,2020-04-03 11:28:49
2020-03,1호선,0155,동대문,728,24,"12,415","1,673","7,892","5,905","10,838","10,262","14,762","20,937","14,090","18,906","12,004","14,743","12,738","15,264","14,607","15,528","15,362","15,557","16,313","15,733","16,880","15,145","18,480","13,584","19,644","14,451","20,230","15,411","13,687","17,902","10,543","11,493","9,695","8,694","7,730","8,231","3,974","8,169",465,"2,634",2,18,0,2,0,0,2020-04-03 11:28:49
2020-03,1호선,0156,신설동,367,14,"8,752","2,009","7,856","6,663","14,655","19,723","19,619","59,695","14,880","30,042","10,995","15,085","12,243","13,782","13,049","13,360","15,000","13,300","15,951","14,365","17,070","14,398","19,554","15,061","33,773","18,119","52,816","22,521","21,993","16,443","12,795","10,108","11,191","9,057","8,244","7,873","3,580","4,768",376,"1,313",0,1,0,0,0,0,2020-04-03 11:28:49
2020-03,1호선,0157,제기동,314,3,"3,891","1,790","6,571","7,425","16,941","15,286","23,774","36,499","16,902","31,760","16,748","25,284","21,920","27,920","26,106","26,587","26,933","29,749","28,894","31,839","31,971","27,994","30,462","23,418","31,754","19,745","34,296","21,160","17,214","15,683","9,590","9,328","8,036","7,349","6,653","6,652","2,825","4,062",253,"1,026",0,0,0,0,0,0,2020-04-03 11:28:49
2020-03,1호선,0158,청량리(서울시립대입구),"1,233",26,"9,682","3,653","12,535","10,463","33,151","12,445","41,906","29,312","27,153","22,949","21,634","24,115","23,386","27,935","27,139","27,907","28,932","31,138","31,260","34,953","33,632","33,387","35,329","31,303","35,928","32,202","35,099","43,825","21,716","30,645","14,013","16,929","9,896","14,471","7,219","12,419","3,169","8,256",222,"2,502",3,2,0,1,0,0,2020-04-03 11:28:49
2020-03,1호선,0159,동묘앞,91,1,"3,113",769,"2,727","3,941","4,646","7,715","6,262","17,941","5,826","12,671","6,180","13,386","8,913","17,117","12,457","19,686","16,488","21,393","20,102","23,345","22,526","19,316","23,766","14,377","23,187","10,803","21,158","8,619","9,629","5,647","5,230","3,495","4,318","3,387","3,072","2,906","1,365","2,389",199,"1,197",0,75,0,0,0,0,2020-04-03 11:28:49
2020-03,2호선,0201,시청,31,0,"1,045","1,289","1,720","11,862","4,055","63,820","5,762","181,332","6,181","92,947","8,554","21,449","11,902","15,116","12,428","13,444","15,855","15,712","19,452","13,304","21,620","11,805","25,913","10,966","64,133","10,842","144,513","11,214","62,109","6,257","32,035","3,545","28,691","2,849","17,939","2,529","6,803","1,723",970,545,4,26,0,0,0,0,2020-04-03 11:28:49
2020-03,2호선,0202,을지로입구,71,0,"2,262","2,001","2,780","19,978","6,269","106,504","9,994","244,250","10,620","135,227","11,399","49,660","16,644","35,899","19,395","31,006","26,041","29,796","31,838","26,521","40,890","22,556","46,920","21,593","115,397","24,042","203,016","27,038","90,393","15,987","78,525","9,218","45,026","7,993","30,244","6,278","10,935","4,095","1,443","1,466",2,544,0,0,0,0,2020-04-03 11:28:49
2020-03,2호선,0203,을지로3가,8,0,795,"1,356","1,719","15,416","3,921","61,503","6,505","132,010","6,637","61,226","7,238","24,589","9,542","16,469","10,523","14,445","13,119","16,622","16,676","14,392","20,434","12,628","26,020","12,425","61,883","13,765","110,647","16,621","49,715","10,205","29,340","4,935","27,855","3,328","21,467","2,682","10,906","1,712","1,623",459,1,25,0,0,0,0,2020-04-03 11:28:49
2020-03,2호선,0204,을지로4가,6,0,796,896,"1,261","9,377","1,985","28,068","3,463","68,615","4,552","39,591","6,191","19,646","8,194","15,037","10,145","13,061","11,314","12,872","14,039","12,666","16,344","11,205","20,410","9,420","41,165","8,090","63,574","7,618","31,214","4,281","13,534","2,171","10,174","1,913","6,852","1,463","3,224","1,159",639,476,1,3,0,1,0,0,2020-04-03 11:28:49
2020-03,2호선,0205,동대문역사문화공원(DDP),286,1,"7,627",805,"4,036","6,446","5,195","15,711","7,753","41,786","7,104","27,958","6,728","18,414","8,084","17,840","9,517","13,977","10,645","14,804","12,950","14,968","15,524","13,297","19,221","12,399","29,484","13,543","36,320","16,623","23,148","21,529","17,050","12,089","15,398","7,760","10,617","6,479","6,065","5,137","1,401","1,943",2,15,0,0,0,0,2020-04-03 11:28:49
2020-03,2호선,0206,신당,24,0,"5,310","1,054","9,614","6,372","22,272","13,869","35,124","31,670","21,161","20,291","13,139","13,418","12,226","13,295","13,988","13,557","14,872","14,792","15,181","16,301","16,259","16,496","18,026","18,114","22,612","25,023","30,617","36,514","19,703","26,955","13,068","15,795","11,030","13,722","8,444","12,606","4,994","7,880",815,"2,811",4,5,0,1,0,0,2020-04-03 11:28:49
2020-03,2호선,0207,상왕십리,35,0,"4,975",610,"10,752","4,638","31,201","9,837","48,728","28,615","27,035","16,122","14,195","9,265","12,519","8,250","12,948","8,821","13,311","10,362","12,576","10,834","12,950","11,992","13,272","14,356","17,995","22,801","23,412","40,703","15,696","30,097","9,438","17,725","8,684","15,595","5,785","13,857","2,769","8,732",462,"3,206",0,1,0,0,0,0,2020-04-03 11:28:49
2020-03,2호선,0208,왕십리(성동구청),826,3,"6,588",823,"8,511","5,192","21,883","8,958","38,446","23,827","23,284","14,841","13,660","10,253","12,707","10,030","14,561","11,432","16,228","13,331","16,033","13,963","16,783","14,746","19,158","17,028","25,543","25,390","31,224","44,079","20,685","31,685","17,833","17,814","19,794","14,072","19,555","13,229","13,121","8,980","2,338","3,745",1,2,0,0,0,0,2020-04-03 11:28:49
2020-03,2호선,0209,한양대,0,0,"1,011",302,"1,966","5,783","4,501","8,803","6,794","26,348","4,941","20,736","3,475","12,605","4,066","8,005","4,896","8,193","5,345","9,022","6,112","8,192","7,402","6,539","11,546","5,979","21,121","6,185","21,657","8,294","10,423","5,649","8,186","3,766","7,841","3,574","7,061","3,174","4,322","2,226",947,757,0,1,0,0,0,0,2020-04-03 11:28:49
2020-03,2호선,0210,뚝섬,17,1,"3,453","1,668","6,946","13,075","17,519","28,085","24,119","113,504","15,046","69,550","10,186","23,955","9,564","17,327","11,685","18,024","14,565","20,700","16,972","20,336","19,676","19,962","25,665","20,292","43,971","23,777","102,438","33,467","52,371","22,845","27,791","11,909","24,228","10,048","16,054","8,745","6,982","5,891",976,"2,051",1,26,0,0,0,0,2020-04-03 11:28:49
2020-03,2호선,0211,성수,27,1,"4,919","3,574","8,545","27,104","19,842","64,701","27,262","240,483","20,276","110,585","15,916","35,319","16,298","25,392","17,498","25,342","22,814","29,241","25,038","27,413","28,867","28,479","38,558","27,479","85,004","30,832","187,221","40,988","85,255","28,137","43,179","15,385","39,322","12,061","28,532","11,277","11,231","8,015","1,608","4,202",1,794,0,0,0,0,2020-04-03 11:28:49
2020-03,2호선,0212,건대입구,260,7,"15,696","2,043","18,642","17,441","44,964","24,158","79,315","53,582","51,346","32,544","26,289","28,544","24,452","27,720","27,603","34,384","30,031","40,591","31,403","44,391","34,318","48,486","41,415","53,577","54,865","75,474","70,133","123,545","54,400","95,909","51,026","55,165","56,045","46,551","57,494","38,837","38,257","23,239","6,610","9,035",7,758,0,0,0,0,2020-04-03 11:28:49
2020-03,2호선,0213,구의(광진구청),9,1,"11,627","1,233","22,303","8,828","56,623","12,959","96,866","33,997","59,362","21,915","25,855","15,033","20,626","14,447","22,037","16,332","23,271","19,019","20,867","20,389","20,720","25,448","22,503","29,068","28,026","43,782","36,538","78,750","21,258","61,975","15,506","39,107","14,861","33,285","13,520","29,999","7,970","17,106","1,273","5,939",0,10,0,0,0,0,2020-04-03 11:28:49
2020-03,2호선,0214,강변(동서울터미널),14,1,"7,521","2,268","22,506","15,281","67,864","17,333","95,253","35,918","63,929","29,926","36,182","25,939","33,128","24,867","34,051","27,414","35,060","31,474","35,027","33,206","34,481","37,586","36,113","44,029","39,871","59,529","50,310","99,049","38,688","74,796","28,606","45,368","23,979","35,432","15,906","33,309","6,812","18,847","1,090","5,415",0,0,0,0,0,0,2020-04-03 11:28:49
2020-03,2호선,0215,잠실나루,4,0,"2,299","1,605","8,410","9,585","30,034","18,422","36,408","31,514","21,286","19,805","14,071","12,121","13,143","10,138","12,811","12,733","12,774","12,665","14,481","11,244","14,993","10,864","19,071","11,040","24,541","16,630","26,539","30,930","13,781","25,441","9,182","13,592","6,647","11,883","5,084","10,681","2,267","6,726",373,"2,181",0,1,0,0,0,0,2020-04-03 11:28:49
2020-03,2호선,0216,잠실(송파구청),92,4,"10,377","5,309","38,526","28,288","94,266","65,227","136,512","146,547","99,068","119,811","53,415","63,694","46,926","55,609","52,952","56,853","59,642","62,483","59,999","60,759","65,141","66,860","80,065","76,888","120,253","105,276","174,423","170,052","115,159","123,082","107,955","70,137","82,883","60,991","55,627","56,397","22,297","31,551","2,856","6,957",0,0,0,0,0,0,2020-04-03 11:28:49
2020-03,2호선,0217,잠실새내,11,0,"4,078",883,"12,569","6,910","42,485","12,081","57,671","21,775","33,944","24,103","18,477","16,762","16,534","16,816","18,796","17,524","20,095","20,358","19,105","21,811","20,860","22,396","23,103","26,059","25,283","38,535","32,149","66,222","24,441","51,548","20,618","27,660","20,344","21,716","18,388","19,964","11,260","11,360","1,848","3,959",2,2,0,0,0,0,2020-04-03 11:28:49
2020-03,2호선,0218,종합운동장,4,1,"1,393","1,112","4,534","4,380","13,680","7,636","17,755","15,042","13,631","8,182","6,682","4,963","5,510","4,216","6,012","4,864","6,350","5,449","6,330","5,539","6,767","6,241","7,433","7,319","10,547","11,090","12,622","18,709","6,454","13,631","3,872","8,081","3,472","7,299","2,771","7,510","1,246","4,407",204,"1,398",1,80,0,0,0,0,2020-04-03 11:28:49
2020-03,2호선,0219,삼성(무역센터),188,0,"4,910","4,830","6,624","38,428","13,393","103,663","16,904","250,363","15,592","194,252","14,802","74,658","19,898","45,465","24,307","37,787","30,639","44,291","40,655","38,014","53,382","33,299","66,101","32,226","133,116","33,518","220,344","40,153","131,870","25,772","92,432","13,915","70,560","10,167","42,432","8,024","13,497","4,745","2,178","2,963",0,"1,200",0,0,0,0,2020-04-03 11:28:49
2020-03,2호선,0220,선릉,130,2,"4,571","6,618","9,541","36,044","16,684","98,254","24,507","246,108","23,319","195,236","23,011","76,726","30,467","46,840","35,851","39,557","43,902","47,131","53,142","42,032","71,030","35,850","100,008","32,809","147,768","36,225","245,586","40,974","129,947","28,764","75,565","16,694","70,027","13,598","54,693","11,082","21,497","7,213","3,747","3,220",0,28,0,0,0,0,2020-04-03 11:28:49
2020-03,2호선,0221,역삼,33,2,"3,633","8,197","7,590","38,175","12,024","113,593","20,502","276,753","19,133","223,064","16,669","82,064","22,043","47,205","26,460","40,770","34,152","48,059","41,968","40,235","56,418","36,202","75,276","31,918","153,207","33,988","224,098","37,908","120,177","28,720","66,727","17,446","65,945","13,025","42,904","10,294","17,784","6,998","2,911","2,439",0,0,0,0,0,0,2020-04-03 11:28:49
2020-03,2호선,0222,강남,189,13,"9,851","12,049","18,058","47,944","34,306","133,238","51,106","290,829","40,823","284,845","36,538","123,874","47,570","85,019","62,243","82,654","77,262","104,404","87,129","90,213","106,346","82,349","119,045","81,367","188,447","101,161","300,120","144,436","186,739","100,515","138,355","50,022","155,598","36,319","144,450","27,807","64,158","18,779","11,880","5,505",0,1,0,0,0,0,2020-04-03 11:28:49
2020-03,2호선,0223,교대(법원.검찰청),14,0,"2,269","7,394","11,296","23,493","20,298","49,064","28,255","134,354","22,896","122,920","19,105","56,397","22,051","38,514","24,640","35,830","30,752","43,234","36,928","41,227","43,592","34,633","48,308","33,200","81,356","37,639","128,252","50,622","59,705","35,405","41,330","19,129","45,342","15,465","35,529","12,730","14,347","7,765","3,351","2,613",1,2,0,0,0,0,2020-04-03 11:28:49
