사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
2020-03,2호선,0224,서초,38,0,"1,101","4,251","5,925","18,015","11,192","38,716","17,077","97,226","17,640","78,499","12,878","27,776","14,415","17,192","14,455","14,733","17,232","17,991","20,838","16,520","25,455","14,804","29,427","13,569","53,719","14,728","84,912","15,648","39,433","11,594","22,273","7,913","21,571","6,733","14,158","5,592","4,947","3,358",797,"1,047",0,0,0,0,0,0,2020-04-03 11:28:49
2020-03,2호선,0225,방배,5,0,"2,385","3,614","7,794","11,781","17,660","23,670","25,325","59,860","19,742","39,177","12,521","15,790","11,612","11,775","12,491","12,590","15,378","14,252","15,625","14,710","17,619","14,639","21,387","14,947","34,368","20,206","56,187","29,587","25,910","22,996","16,134","14,721","15,854","12,976","12,486","11,808","5,568","7,051","1,284","2,515",0,1,0,0,0,0,2020-04-03 11:28:49
2020-03,2호선,0226,사당,216,9,"11,713","3,203","21,565","23,903","62,194","34,509","78,791","53,237","59,028","41,200","32,121","30,447","27,424","28,367","33,899","28,808","34,738","33,332","33,695","34,725","35,061","43,114","40,471","54,995","54,374","75,986","77,203","121,435","52,604","95,163","40,578","53,566","42,728","46,446","40,748","42,862","24,610","26,832","4,771","8,884",4,575,0,0,0,0,2020-04-03 11:28:49
2020-03,2호선,0227,낙성대(강감찬),46,1,"10,515","1,645","21,922","8,116","65,770","13,770","104,299","29,149","68,440","25,441","31,336","18,069","23,955","15,494","26,153","17,466","27,571","19,771","24,693","21,999","25,351","25,774","27,357","29,863","33,509","46,232","39,740","83,235","25,033","74,328","17,671","45,854","16,668","40,374","13,071","39,244","7,469","24,987","1,343","7,476",0,18,0,0,0,0,2020-04-03 11:28:49
2020-03,2호선,0228,서울대입구(관악구청),"3,959",20,"26,719","2,483","36,023","12,343","107,763","20,283","150,806","50,906","103,754","49,592","49,909","36,181","41,188","32,617","44,623","35,473","47,893","42,328","45,273","43,232","47,337","50,499","52,494","56,945","60,139","83,353","75,036","146,012","48,595","128,210","38,638","75,529","40,235","65,957","34,936","60,000","19,047","37,114","3,241","14,685",0,"3,188",0,0,0,0,2020-04-03 11:28:49
2020-03,2호선,0229,봉천,50,5,"13,107","1,661","24,078","6,776","69,442","9,006","100,486","20,917","61,584","15,870","28,435","14,489","22,242","14,454","23,535","15,534","25,117","17,685","21,985","20,452","21,048","27,000","21,832","29,094","24,376","43,168","28,912","74,235","17,859","63,860","13,095","39,588","12,204","34,266","8,838","31,114","4,383","18,764",773,"6,008",1,129,0,0,0,0,2020-04-03 11:28:49
2020-03,2호선,0230,신림,198,11,"36,968","4,146","67,916","19,526","181,189","26,781","267,820","50,079","167,022","42,603","75,772","33,143","59,612","32,878","62,931","37,225","63,252","44,793","56,809","53,668","56,043","67,226","59,703","79,228","67,694","120,258","74,863","221,314","53,380","199,368","43,107","123,325","41,934","108,804","36,608","97,688","21,453","64,948","4,031","21,151",1,44,0,0,0,0,2020-04-03 11:28:49
2020-03,2호선,0231,신대방,105,1,"21,498","1,915","31,102","8,842","75,923","15,457","110,938","27,164","66,870","16,782","31,969","13,535","24,317","13,014","24,499","15,442","24,691","17,485","22,200","20,094","21,418","28,334","22,804","32,264","28,615","49,529","34,031","82,218","21,146","70,436","14,615","45,630","11,591","45,894","8,655","43,287","4,671","24,260",982,"7,195",0,7,0,0,0,0,2020-04-03 11:28:49
2020-03,2호선,0232,구로디지털단지,213,2,"35,595","6,232","44,766","21,079","119,359","68,765","154,661","209,922","100,029","132,531","50,203","47,140","41,035","35,315","44,796","34,002","48,901","40,203","45,271","41,022","47,048","48,972","56,340","55,694","98,716","86,756","187,599","139,684","101,260","116,748","55,232","71,080","44,563","66,536","34,429","64,095","17,226","37,897","3,143","10,239",0,87,0,1,0,0,2020-04-03 11:28:49
2020-03,2호선,0233,대림(구로구청),491,3,"29,675","3,564","24,887","9,962","54,604","18,600","77,966","47,942","50,950","30,446","25,127","20,748","20,559","18,924","22,302","18,795","22,638","20,119","21,225","21,194","21,870","28,118","24,058","30,113","32,327","47,474","46,692","59,990","24,628","44,691","15,164","30,934","11,548","37,677","8,372","35,136","4,278","16,449",651,"4,769",0,100,0,0,0,0,2020-04-03 11:28:49
2020-03,2호선,0234,신도림,"2,976",19,"31,036","4,629","41,843","14,797","110,547","34,698","110,835","97,409","70,852","56,394","39,954","43,989","36,471","34,419","41,332","35,636","44,373","39,361","42,949","40,603","44,466","45,536","49,938","51,825","70,779","74,110","107,079","129,145","61,195","102,909","51,332","60,053","38,497","51,623","27,438","48,038","13,931","34,223","1,947","15,721",6,"2,364",0,0,0,0,2020-04-03 11:28:49
2020-03,2호선,0235,문래,12,1,"2,885","1,550","9,507","8,617","33,444","29,938","34,289","106,547","20,721","49,812","13,239","18,238","12,010","13,402","13,699","13,988","15,604","15,434","16,063","14,930","17,700","14,722","22,327","16,192","42,482","22,948","88,644","39,883","32,929","31,492","19,950","16,493","19,598","14,135","14,434","12,288","7,484","6,960","1,195","2,708",2,14,0,0,0,0,2020-04-03 11:28:49
2020-03,2호선,0236,영등포구청,16,2,"4,991","2,634","10,615","10,671","34,671","33,917","38,750","105,097","25,045","50,703","16,345","20,456","15,590","16,240","17,439","16,994","19,031","18,964","20,282","18,241","21,376","18,574","26,261","20,044","43,896","26,457","90,901","45,397","36,542","33,404","22,251","18,705","21,345","16,231","17,362","14,259","7,480","9,257","1,289","3,470",2,25,0,0,0,0,2020-04-03 11:28:49
2020-03,2호선,0237,당산,29,0,"5,205","2,660","14,166","12,084","38,494","24,094","46,517","73,447","28,392","36,396","16,142","16,271","15,225","13,223","15,681","14,433","17,120","17,252","16,706","17,611","17,725","18,466","21,132","21,730","32,816","33,982","59,121","60,736","26,679","45,226","18,226","27,158","17,409","22,720","15,578","20,480","7,750","13,192","1,249","3,390",1,32,0,0,0,0,2020-04-03 11:28:49
2020-03,2호선,0238,합정,120,0,"6,874","2,787","13,442","13,681","34,561","30,260","43,867","85,071","29,221","61,709","18,493","34,218","18,061","29,011","20,766","33,491","25,099","38,779","25,763","36,482","28,915","35,325","35,908","38,721","54,669","52,597","96,616","81,592","60,556","61,994","45,203","31,722","50,029","23,668","47,088","19,523","24,723","13,400","4,344","5,372",2,33,2,2,0,0,2020-04-03 11:28:49
2020-03,2호선,0239,홍대입구,604,6,"16,697","3,310","21,770","13,922","49,164","26,334","60,410","84,930","39,210","90,813","25,677","54,722","28,418","53,434","33,500","68,682","40,942","82,641","44,620","84,651","52,083","83,030","67,013","87,020","92,833","102,689","128,536","143,783","101,692","107,700","92,977","57,023","107,180","40,292","107,479","32,533","60,184","23,794","8,141","9,264",3,"1,414",0,0,0,0,2020-04-03 11:28:49
2020-03,2호선,0240,신촌,70,5,"6,506","2,423","10,703","12,468","27,169","29,664","37,464","64,269","26,670","76,878","22,485","43,027","25,674","37,607","31,898","41,633","33,856","48,495","35,898","44,193","41,554","40,695","49,228","40,558","66,302","55,620","74,813","82,438","56,000","59,745","56,681","30,194","54,734","23,610","55,624","20,009","28,735","15,029","4,587","4,867",0,8,0,0,0,0,2020-04-03 11:28:49
2020-03,2호선,0241,이대,41,1,"2,223","1,585","5,139","10,830","14,366","8,396","18,003","22,692","11,855","19,936","8,032","14,987","8,586","11,761","10,277","12,599","12,147","14,682","12,266","14,139","14,293","13,157","19,607","13,156","25,491","15,208","23,890","22,626","16,032","17,409","12,707","10,435","11,330","9,121","9,163","8,200","3,869","6,395",586,"2,133",1,12,0,0,0,0,2020-04-03 11:28:49
2020-03,2호선,0242,아현,3,0,"3,544",947,"8,378","6,199","21,703","6,955","27,683","13,916","16,994","9,253","10,120","6,570","9,216","6,233","9,656","6,951","9,818","7,943","9,481","8,551","10,303","9,286","11,270","10,791","13,758","15,437","15,110","24,204","8,900","19,997","5,918","12,717","4,894","11,165","3,507","9,640","1,686","6,298",334,"2,052",4,2,2,4,0,0,2020-04-03 11:28:49
2020-03,2호선,0243,충정로(경기대입구),15,0,"2,693",853,"5,811","5,057","13,436","15,445","18,088","50,618","12,064","28,701","7,986","10,643","8,496","7,554","7,962","6,985","8,894","8,143","9,769","7,743","9,809","8,176","12,145","8,783","20,336","11,415","41,001","18,137","16,039","13,628","9,065","8,668","7,975","7,671","6,206","6,694","2,484","4,864",427,"1,483",1,31,0,0,0,0,2020-04-03 11:28:49
2020-03,2호선,0244,용답,1,0,"2,146",256,"2,464",780,"5,835","1,325","10,297","2,310","4,915","1,444","2,674","1,384","2,399","1,612","2,740","1,903","2,906","2,281","2,941","2,480","2,866","3,370","2,963","3,850","3,097","4,831","2,996","8,566","1,867","6,368","1,343","3,602","1,032","3,695",791,"3,534",482,"2,108",92,677,0,0,0,0,0,0,2020-04-03 11:28:49
2020-03,2호선,0245,신답,1,0,983,95,"1,388",548,"5,107",948,"8,701","1,564","3,347",936,"1,580",715,"1,347",842,"1,447",960,"1,455","1,207","1,342","1,394","1,470","1,901","1,400","2,318","1,514","3,374","1,793","7,653","1,013","6,215",546,"2,621",453,"2,675",397,"1,960",165,"1,495",38,372,0,0,0,0,0,0,2020-04-03 11:28:49
2020-03,2호선,0246,신설동,25,0,995,384,"1,183","1,851","2,282","5,179","4,471","12,055","3,195","7,611","2,626","4,656","3,420","4,630","3,936","4,591","4,441","4,937","5,125","4,763","5,815","4,504","6,298","3,714","9,122","3,904","10,334","4,486","4,674","3,148","2,388","1,999","1,916","1,593","1,471","1,391",643,879,132,445,0,74,0,0,0,0,2020-04-03 11:28:49
2020-03,2호선,0247,도림천,0,0,309,308,820,575,"2,241","2,413","2,317","5,099","1,479","1,793","1,282","1,035",882,856,"1,496","1,390","1,079",710,"1,332","1,273","1,529","1,029","1,723","1,146","2,294","1,435","3,231","2,255","1,807","1,941",775,"1,192",744,"1,073",307,852,193,508,32,182,0,4,0,1,0,0,2020-04-03 11:28:49
2020-03,2호선,0248,양천구청,14,0,"3,859",791,"8,743","1,797","24,946","3,874","21,918","7,372","11,995","4,226","6,408","3,371","5,811","3,014","6,301","3,820","6,343","4,627","5,432","4,805","4,877","6,015","5,393","7,057","6,091","11,332","7,156","22,672","3,244","20,375","2,241","11,049","1,964","8,879","1,651","8,099",795,"6,166",130,"2,139",0,8,0,0,0,0,2020-04-03 11:28:49
2020-03,2호선,0249,신정네거리,38,0,"6,775","1,773","10,639","7,117","33,696","3,892","30,411","10,512","16,237","6,284","9,135","5,157","8,094","5,624","8,688","5,912","8,447","6,902","7,752","7,462","7,762","9,559","10,322","11,390","11,661","17,833","10,030","33,861","6,131","27,008","4,149","15,265","3,294","11,075","2,885","10,485","1,390","6,506",223,"2,122",2,156,0,0,0,0,2020-04-03 11:28:49
2020-03,2호선,0250,용두(동대문구청),4,0,962,157,"1,192",758,"4,095","1,984","6,757","5,436","3,247","3,182","2,269","2,229","2,586","2,428","2,579","2,116","2,874","2,743","2,992","3,146","3,329","3,336","3,211","3,151","3,434","3,439","4,928","6,481","2,420","4,727","1,317","2,458","1,344","2,181",883,"1,610",376,"1,022",61,383,0,3,0,0,0,0,2020-04-03 11:28:49
2020-03,3호선,0309,지축,0,0,"1,086",264,"4,563","2,006","11,484","1,889","11,617","2,407","5,709","1,476","3,471","1,367","2,944","1,791","3,174","2,103","2,992","2,217","2,751","2,278","2,782","2,826","3,363","3,583","3,911","4,975","3,022","11,582","1,423","9,008",918,"6,030",677,"4,409",474,"4,104",319,"2,622",65,673,0,0,0,0,0,0,2020-04-03 11:28:49
2020-03,3호선,0310,구파발,100,9,"7,764","1,313","24,304","6,486","71,158","15,097","69,603","19,379","32,616","18,092","18,280","18,393","15,869","13,566","17,714","14,149","17,301","15,164","17,689","15,530","18,562","16,023","20,955","19,301","23,936","27,549","23,934","56,173","14,696","50,406","11,308","28,029","10,645","22,657","6,696","19,520","2,879","13,880",477,"4,890",0,154,0,2,0,0,2020-04-03 11:28:49
2020-03,3호선,0311,연신내,227,24,"24,081","1,729","42,688","10,020","117,386","13,337","141,638","27,402","75,647","27,732","43,862","25,316","37,229","24,624","40,454","26,166","41,768","30,052","38,028","33,574","36,995","41,502","38,367","49,668","40,222","67,427","41,529","121,705","30,391","115,937","23,641","63,947","21,362","52,846","18,633","45,944","10,133","29,846","1,995","10,300",0,5,0,2,0,0,2020-04-03 11:28:49
2020-03,3호선,0312,불광,11,1,"7,939",906,"15,719","5,105","42,507","8,331","52,200","26,286","27,108","24,811","17,244","20,693","15,742","16,126","16,113","16,332","17,442","16,808","17,506","18,374","17,655","20,797","18,581","23,476","21,279","30,545","25,737","49,228","15,080","41,646","11,509","23,420","9,694","19,236","6,716","16,241","3,126","10,298",580,"3,366",0,0,0,0,0,0,2020-04-03 11:28:49
