"행정구역","2021년03월_계_총인구수","2021년03월_계_연령구간인구수","2021년03월_계_0~9세","2021년03월_계_10~19세","2021년03월_계_20~29세","2021년03월_계_30~39세","2021년03월_계_40~49세","2021년03월_계_50~59세","2021년03월_계_60~69세","2021년03월_계_70~79세","2021년03월_계_80~89세","2021년03월_계_90~99세","2021년03월_계_100세 이상"
"전국  (0000000000)","51,705,905","51,705,905","3,908,794","4,761,113","6,767,952","6,812,701","8,250,451","8,613,059","6,876,287","3,694,544","1,756,509","252,860","11,635"
"서울특별시  (1100000000)","9,598,484","9,598,484","611,000","773,744","1,450,425","1,460,545","1,511,822","1,513,916","1,255,009","698,222","280,381","40,690","2,730"
"부산광역시  (2600000000)","3,372,399","3,372,399","228,788","269,772","427,087","413,824","507,745","562,268","536,731","293,083","117,687","14,652","762"
"대구광역시  (2700000000)","2,408,875","2,408,875","175,023","223,056","318,439","290,921","380,397","422,961","332,302","176,041","79,451","9,757","527"
"인천광역시  (2800000000)","2,936,461","2,936,461","224,970","272,731","397,817","402,590","481,697","510,040","377,343","177,632","78,689","12,430","522"
"광주광역시  (2900000000)","1,445,473","1,445,473","117,808","155,277","208,324","184,137","239,690","233,891","165,964","93,656","40,468","5,966","292"
"대전광역시  (3000000000)","1,458,463","1,458,463","112,297","145,010","211,498","192,338","235,062","240,184","183,343","91,414","41,193","5,920","204"
"울산광역시  (3100000000)","1,129,254","1,129,254","96,422","111,038","142,413","149,430","186,357","207,808","148,776","60,792","23,060","3,070","88"
"세종특별자치시  (3600000000)","360,462","360,462","47,300","43,522","37,866","61,515","70,075","45,953","31,270","14,451","7,245","1,228","37"
"경기도  (4100000000)","13,465,837","13,465,837","1,134,030","1,325,112","1,811,928","1,902,623","2,298,082","2,241,613","1,574,976","767,454","355,003","52,598","2,418"
"강원도  (4200000000)","1,536,399","1,536,399","104,267","136,144","177,773","164,474","222,044","265,217","246,701","134,639","73,365","11,279","496"
"충청북도  (4300000000)","1,595,714","1,595,714","121,435","147,917","197,273","192,814","239,437","270,956","229,572","120,213","66,515","9,260","322"
"충청남도  (4400000000)","2,115,823","2,115,823","169,781","201,595","240,801","265,022","327,135","337,907","286,395","171,028","101,096","14,544","519"
"전라북도  (4500000000)","1,797,450","1,797,450","126,003","173,148","209,743","186,504","266,068","298,408","260,057","170,491","92,542","13,931","555"
"전라남도  (4600000000)","1,844,811","1,844,811","129,808","165,694","198,940","183,333","258,097","312,636","275,866","191,873","111,394","16,503","667"
"경상북도  (4700000000)","2,635,563","2,635,563","186,212","224,849","281,752","287,291","381,224","457,121","417,995","241,666","137,445","19,293","715"
"경상남도  (4800000000)","3,330,463","3,330,463","263,754","322,143","373,828","393,463","533,259","579,448","473,178","246,385","126,739","17,680","586"
"제주특별자치도  (5000000000)","673,974","673,974","59,896","70,361","82,045","81,877","112,260","112,732","80,809","45,504","24,236","4,059","195"
